,hash,time,total_value,direction,gini_coefficient
0,69710a087fa3dae2b4caceaeac73b186962530d48aded8f7c6f3dc41f6e21344,2019-09-16 18:06:17,43947313,outbound,184.0367
1,82bfe7cb266909b1a743f2ac67f0f391406ca0bc6ad208e450905e43a5083cfb,2019-09-07 00:34:07,2606900,inbound,3111.7494
2,7b81c9bd01a1c0e1c0b2b4d8c86e005f41f9dc2469090b60a9c11d394f13dbf7,2019-09-04 16:02:38,30929033,outbound,131.1513
3,7778c63e78d0fa1fd2a04f81f8d59034d73ee83c1269d249305033359238ebc9,2019-09-04 09:45:20,3981300,outbound,2037.1804
4,c252d2e57b2b790178081b2c50d4d8d4e002f753c4dfae0fbbf9e65ec839e7c2,2019-09-04 07:09:41,3981300,outbound,1018.5949
5,018e7c23261f4b038d1bae757aed74c82e00197719fd891e87621c3fc29622ac,2019-09-04 06:47:16,3983967,outbound,0.0000
6,64fb7cac8598bf959cd0d1b8f5f65882aefe6181d92aa8db6835424ad4d2c701,2019-09-04 06:47:16,3981400,outbound,11204.2622
7,7f486e707bf263452ff67de4b42fb672edcf8bbf20e899b09eef11c34db100a1,2019-09-03 10:59:05,2095997,inbound,19347.8958
8,b6f9677c834dec583d6209cfcc45414d55405e2e0ee3eeeb351b784c8ac5ac6d,2019-09-03 00:06:14,9996944,inbound,3650.8976
9,3a7f97f86491b3a445941009d8721418039955fce2e3e8bf56aa979b71e70698,2019-09-02 17:34:41,3981300,outbound,8148.7592
10,7fea91291a563a8ba59e48f1ce245b09df25f1c558d28a2bfefe644e0a818ff2,2019-09-02 14:16:01,4060692,outbound,8987.9739
11,925423e7a51c54743d9b3a8df91b1bc803f8c2bc3f8a754c9cbb0df80956aa05,2019-09-02 13:52:05,3981300,outbound,5092.9698
12,b7451cde16c6021beaabf06ae2506356f38433bffe6fed2bfeecf45ca12c7f11,2019-09-02 13:52:05,3981300,outbound,4074.3749
13,13702d1902228b858edc4d4f55e3e5df54270f170322ead5eca296b3aa1e0d72,2019-09-02 13:52:05,3981400,outbound,7129.9803
14,5f9c522298746cdf9967ed7b32617ffd293e5962410a1ba4225b26ef54d9e538,2019-09-02 13:52:05,3981400,outbound,5092.8464
15,77a6175bf7d4876e8e90f7f77b5111ba01f9219f9d6a6f5667ad3775bddfc4d4,2019-09-02 13:36:41,1463460725,inbound,7.0951
16,0eb54e10c9279cb1d21b8daedb0aa8d1491102c64b746d499835043eb385f21d,2019-09-02 06:17:35,8460654,inbound,479.3144
17,d1a54c2a151415d65584017995b9a47cd567f1485fea5de58ff5c1daf74301ab,2019-09-02 05:05:21,9463264,inbound,855.9097
18,fe7e570439b7f17676cb7936bd22b9022c3ad37fde1a896c01953e8a64386169,2019-09-01 21:37:55,7573916,inbound,2854.2705
19,26427be9df4955f0243a6205f3295e96d49fc4fca55f848a3bf71e0211b4d1ea,2019-09-01 20:32:58,2026144,inbound,2001.4917
20,454da81d3dad4af2146a1766724a9c15d1719592adc23edc303b77bc14917b61,2019-09-01 20:32:58,2103457,inbound,1928.8294
21,f7ae59a59f3703b921ff720826c0756103cbf68d1efcce1377521b0f3138df27,2019-09-01 20:16:20,2016600,inbound,0.0000
22,017d22009e4c6b219a64bc64f9a1ebd9a8ccd16a6871079c3ad2c1d178f565b0,2019-09-01 20:16:20,2206846,inbound,1837.6059
23,20bb23f1ff263581d46b127859b549957a299ede1760ebc9468cb3fea03a0cfe,2019-09-01 19:32:56,2055301759,inbound,118.9731
24,8fcbd0d15608b4b26808b7f58deaccae9579d132079c725782fab1ac076f29f5,2019-09-01 18:59:16,2183221,inbound,1857.4909
25,ac6f203b5beea3d3f5a893bf6005325e677b5f94a7df9e1312450741a58d317e,2019-09-01 18:47:19,197501753,inbound,0.0000
26,ca44e50c62cb8d504cc817b552c251aa6aaaa7871018ff11a8e22b1d6e20d34b,2019-09-01 18:47:19,14327036,inbound,283.0476
27,ddeb9cfa3cc0fbb4ddbe1feac4508f755491593a4053fa310d88a71da1d90550,2019-09-01 18:27:42,2444900,inbound,0.0000
28,68c01097c42a1a944baeead9454056d1e6f3125b0ff416ce3d875ec0a483b2db,2019-09-01 18:09:20,74372000,inbound,43.6299
29,61f5eafbdd66f5601e685c4a69490eae76b1a1ff55cdd778ec66e877b1980ac4,2019-09-01 18:09:20,10750338,inbound,0.0000
30,10b323228aed0b890563d3239f6f7e1fc089db305ceebc6dd0c5553b399e75b3,2019-09-01 18:09:20,24670932,inbound,164.3762
31,01ea8c9bcf205476294fee76b4ac42457ca77d8e76b5fb71abe08fed9d466fb7,2019-09-01 17:55:21,2446568,inbound,0.0000
32,558fff24a0026490ae709e33b22e58460a5daf33712fb82bd2f6df21eecbdb60,2019-09-01 17:23:47,3488058,inbound,3488.1769
33,e0a2dc6623cd4e2ef4f6108f45ef65d2020f76be38761b5fb7e065466cab3043,2019-09-01 17:23:47,18481311,inbound,0.0000
34,15224165478f3986294e9aa15858f96de5aa2390274d982c7720fce08cc55c97,2019-09-01 17:17:09,10052663,inbound,403.4069
35,fde69ab91dcf5f616caf6ed68e99ea1dc44d59dab735bde382a124cdfca9806f,2019-09-01 17:15:57,14509467,inbound,0.0000
