,hash,time,total_value,direction,gini_coefficient
0,9c3b8b75040a8a69e2bc8f8731db4a1c20320b504f1ca0189881426d8c24ffbc,2023-04-07 07:57:53,91541260,outbound,0.0000
1,f0de79bfbfcb2928a89d21c4c517ee9392fea41d2da4380087167f8493f78428,2023-04-06 22:05:52,20123108,inbound,0.0000
2,150fb44378c692db3f639ad4fb029789094685a1ae0023d1c878fd9c65ae4a7d,2023-04-06 09:16:40,751872665,outbound,2118.3512
3,3c010fdd786770a3ca04dab4ba76065ac2308d6b5dbaf4bec153b2b0bded863c,2023-04-05 21:11:48,3737410,inbound,0.0000
4,534eee99bd7b0068f221f2dade5b861b5d243bd523c647d6901a57d54479c13b,2023-04-05 18:59:18,653385808,inbound,13144.0426
5,b4c07a71021f356caa3d24899dcf450147ed8d8ce3adfa7d9dcf3cc538c25f34,2023-04-05 18:15:28,13533240,outbound,601059.6981
6,6cbed7f31b5c0976210c58fa4435c3fb62d3095cfdf5a972531757c0a43e5bbf,2023-04-05 18:08:43,688658420,inbound,385.2946
7,d26c3998be479f11141423f3cd828c32ea465a2750e95fc0315c10d345b3214d,2023-04-05 02:58:21,20503070,inbound,26013.2292
8,7e70a33c7db50ef3cc958de9f45a6d2b2385d5bdc13137dedb0e5abc551b2bd3,2023-04-04 21:40:42,11629959523,inbound,784.1000
9,73ed5c0a71da98d4cddc24bef401cbf75d216300b6dc9a136d98980c23257420,2023-04-04 20:22:27,43129076,inbound,6183.7198
10,045b7841dfa22af792dd490218cf3d4136c493a18d24842f3b92a0a47bcfd34b,2023-04-04 13:48:04,16260729,inbound,41001.0027
11,619beda52c01fc932c6972690ff1f7e5f10b218e59fd60461b1d769843c05deb,2023-04-04 11:32:25,54132832,outbound,2463.4352
12,1af06140e7651f24f8643c8abf1085230281f0323a5249a2c36528d91892f165,2023-04-04 09:31:09,2495380,inbound,374084.9056
13,1eadc8b834e5801c8bf02879bff6a56f823f6f8f0e50964723a85311a2d1b891,2023-04-04 08:59:23,1861303719,inbound,71.6459
14,6285d2d577d61c7387a0a98fda08d1d8888993247d774649710d71c3ae05bbbd,2023-04-03 21:48:43,3489264085,inbound,1452.2201
15,17f4e53ee32e2d92c73406fdb439d9204ec8ac8dfa8906bf98a651f6afe7e27c,2023-04-03 18:29:19,30713607,inbound,26047.8809
16,108ab49055493aeadcd532b70f8897aadcce133d4e7147269d63c1126d6170cc,2023-04-02 22:37:23,231985410,inbound,98698.6570
17,94785ae2ea51d8ed3a4d3c788106be7424a24c971090481d578962ab588e2436,2023-04-02 19:52:28,726555852,inbound,37758.8443
18,396d9337e43676d61ea799b9e3b0ca5951c4301fc7a5ef4c443a342232e36b0c,2023-04-02 19:25:13,55454691914,inbound,494.8519
19,19ffd629b65c3c8349c50dd55547eaa702ef1912e1785764a85a3aa55ce2be36,2023-04-02 14:39:03,200316580,outbound,0.0000
20,c43f5817513f2acc547713ec34a97417a2eb2bfd34bc001d1847ac7789f99367,2023-04-02 14:35:49,346557678,outbound,0.0000
21,c43f5817513f2acc547713ec34a97417a2eb2bfd34bc001d1847ac7789f99367,2023-04-02 14:35:49,346557678,inbound,0.0000
22,63c9bc1f80608e96060ebcd7c52d37d93fccaefdf9c04c411fa33d724b96e691,2023-04-02 11:31:25,327039497,outbound,407.6872
23,891df6fbf931622cb2eb7f7c00a959667d4f4139ad41ff3ede3dc80b52c9ceeb,2023-04-02 10:20:24,527043199,outbound,0.0000
24,672203ab2e934e727a558212a009448d4a69c4ecc35eee1894a8e635e25e4098,2023-04-02 08:59:05,627047049,outbound,0.0000
25,ee715e70a5881fd55ecde1743d3fe6598b501c1e5f7139109581e79565289385,2023-04-02 08:43:53,727048826,outbound,0.0000
26,3d2d12f2e71597036cc0a03a10df55c2f7fdd8d4708930658f73bc3560664c4e,2023-04-01 16:05:09,1484778482,outbound,895.1882
27,3d2d12f2e71597036cc0a03a10df55c2f7fdd8d4708930658f73bc3560664c4e,2023-04-01 16:05:09,1484778482,inbound,895.1882
