,hash,time,total_value,direction,gini_coefficient
0,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,2023-04-05 13:14:34,37638119,outbound,
1,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,2023-04-05 12:25:43,16268257,outbound,0.0000
2,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,2023-04-05 11:32:54,81461479,inbound,2919.9540
3,311307dd00a85d0c2d6173d4a0d4dba77a760bd708a7446fb4699883860156d2,2023-04-05 11:38:08,45884372,inbound,37327.5902
4,c43f5817513f2acc547713ec34a97417a2eb2bfd34bc001d1847ac7789f99367,2023-04-02 14:35:49,346557678,outbound,0.0000
5,c43f5817513f2acc547713ec34a97417a2eb2bfd34bc001d1847ac7789f99367,2023-04-02 14:35:49,346557678,inbound,0.0000
6,9ee3976a19f8b94748ea998bafeee3dfc3260153bdbdc3dc1466f8894c3f2cf4,2023-04-02 11:18:47,117084250,inbound,8124.3883
7,cdbb3dea8ac0192d4edbb5a8dfc5eca5b83c7256879f225915a5c0bf3bdd1384,2023-04-02 11:18:47,27472750,inbound,17317.7342
8,3d2d12f2e71597036cc0a03a10df55c2f7fdd8d4708930658f73bc3560664c4e,2023-04-01 16:05:09,1484778482,outbound,1599.1876
9,3d2d12f2e71597036cc0a03a10df55c2f7fdd8d4708930658f73bc3560664c4e,2023-04-01 16:05:09,1484778482,inbound,1599.1876
10,66492de91640954708214ab36828a20853b3be6109d15fd3f9e78337da3ec2a5,2023-04-01 16:04:25,1446523,outbound,493357.7376
11,66492de91640954708214ab36828a20853b3be6109d15fd3f9e78337da3ec2a5,2023-04-01 16:04:25,1446523,inbound,493357.7376
12,66492de91640954708214ab36828a20853b3be6109d15fd3f9e78337da3ec2a5,2023-04-01 16:03:22,1446523,outbound,493357.7376
13,66492de91640954708214ab36828a20853b3be6109d15fd3f9e78337da3ec2a5,2023-04-01 16:03:22,1446523,inbound,493357.7376
14,dce8271ff6ca6bacf4f9fd9ff463f587a0bb9d4c805af60777bec31dde32c916,2023-03-23 12:38:09,999973551,inbound,74521.1230
15,4382bb696d0c4d5b2cc151661aec535ee417ca0db7a817683fff8539b29fc457,2023-01-31 15:56:10,49981010,inbound,907398.8558
16,dce574f2f8283a45c76d37773fe49bf2c04320cf91af3d9917bfd47926340c4f,2023-01-28 20:49:33,49998844,inbound,185550.2859
17,95818e024a3165fc2b8ddaed0e2a269bd3bbb192aba98b38d823f75c484feff6,2023-01-26 01:25:03,57560222,inbound,444959.6703
18,9031d19802a1c5569102d46c26c787c6c43d4aa962f39dd75faf58b18a569aed,2023-01-22 20:34:35,5699278,inbound,6427733.5390
19,67af70604a7ba416de056a38623ff4eb8ab7c283462242468b05f8aff3cf2cf1,2023-01-22 17:57:11,181583663,inbound,317950.4019
20,5973c5ebd0409e47edaadd0efa92fd0a3806012457163e14e63ab083bbf4f491,2023-01-13 19:56:41,398406,inbound,1791276.9879
21,5d2fbda03bd9e50b92e4dd240be24ee687be28775e6deca410afe26f8484c948,2023-01-13 16:05:47,9284672,inbound,922359.4625
22,bff79d23e0ffee731c97c6b0fb60a5c460d5714e2dcd5267da7f264881496fde,2023-01-12 03:53:33,7583566,inbound,62735.0243
23,c65aedda86199dddaf54bce9baca5302f8d688c1fdd530d7f77a4d9e0f5bca1c,2023-01-11 00:19:20,3403837,inbound,6988636.0077
24,b14dcbf6fbcc2c253b59ade00e72676529c55eadbf0d1dd003ff441e014848b6,2023-01-10 05:58:19,7199464,inbound,2312874.7893
