,hash,total_value,transaction_direction,time
0,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,37638119,outbound,2023-04-05 13:14:34
1,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,16268257,outbound,2023-04-05 12:25:43
2,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,81461479,inbound,2023-04-05 11:32:54
3,311307dd00a85d0c2d6173d4a0d4dba77a760bd708a7446fb4699883860156d2,45884372,inbound,2023-04-05 11:38:08
4,c43f5817513f2acc547713ec34a97417a2eb2bfd34bc001d1847ac7789f99367,346557678,outbound,2023-04-02 14:35:49
5,c43f5817513f2acc547713ec34a97417a2eb2bfd34bc001d1847ac7789f99367,346557678,inbound,2023-04-02 14:35:49
6,9ee3976a19f8b94748ea998bafeee3dfc3260153bdbdc3dc1466f8894c3f2cf4,117084250,inbound,2023-04-02 11:18:47
7,cdbb3dea8ac0192d4edbb5a8dfc5eca5b83c7256879f225915a5c0bf3bdd1384,27472750,inbound,2023-04-02 11:18:47
8,3d2d12f2e71597036cc0a03a10df55c2f7fdd8d4708930658f73bc3560664c4e,1484778482,outbound,2023-04-01 16:05:09
9,3d2d12f2e71597036cc0a03a10df55c2f7fdd8d4708930658f73bc3560664c4e,1484778482,inbound,2023-04-01 16:05:09
10,dce8271ff6ca6bacf4f9fd9ff463f587a0bb9d4c805af60777bec31dde32c916,999973551,inbound,2023-03-23 12:38:09
11,4382bb696d0c4d5b2cc151661aec535ee417ca0db7a817683fff8539b29fc457,49981010,inbound,2023-01-31 15:56:10
12,dce574f2f8283a45c76d37773fe49bf2c04320cf91af3d9917bfd47926340c4f,49998844,inbound,2023-01-28 20:49:33
13,95818e024a3165fc2b8ddaed0e2a269bd3bbb192aba98b38d823f75c484feff6,57560222,inbound,2023-01-26 01:25:03
14,67af70604a7ba416de056a38623ff4eb8ab7c283462242468b05f8aff3cf2cf1,181583663,inbound,2023-01-22 17:57:11
15,78d9c7a5a36baf6df4f6f03c8a51451750b470fe4176485b23c5dd9505f6d2a2,17219615,inbound,2023-01-10 05:13:51
16,7a5f1e348d19b90dbd81d59cb84fc8a93fbb657707fd180c327db1bfb2c3d034,341770038,inbound,2023-01-09 04:48:36
17,4d8d865d0e1e1101b9b5135c8ce1ad6870987f36e946535eaae59e417867ec94,390626274,inbound,2023-01-07 04:56:34
18,1dfce722ac8711093ab680f05a33db4bdd6f6cc38ef29726e6aea485d7a75927,55846318,inbound,2023-01-05 14:58:14
19,a47a6169afe5ee1954c23ddb7bde0cb8939217c2628e424387b374907533f6fe,99590708,inbound,2023-01-05 11:09:45
20,b7cb5db4bbb6ff5146dd68c9c8f0df86939915e664ed2f4d320f3dfb81810a14,17848460,inbound,2023-01-05 02:01:05
21,32109ed86ba84fa3652b5044ea7d716c019343017b6b8c8c214d4971fd8c0b62,109197617,inbound,2023-01-04 19:34:37
22,c2f4dbb9490cf97c844557b34d53b0ec77b334a23b334bde3eebd456c4c023af,14964154,inbound,2023-01-03 23:28:42
23,2a8c535be9bd297d6abe24e4a03733b6381aaa6030c50c62699f32e601e3cd1e,16377753,inbound,2023-01-03 23:22:05
24,25770c89c6e8e19f2c88a5b6c95685124e67186d3b9b626afab1add34f26d526,93394951,inbound,2023-01-03 20:29:03
25,cb0e5b807a8831cd1ca2474c57ea1cd0467b2611938d78a1cfdf948a49b5f7e6,75151112,inbound,2023-01-03 16:39:09
26,0385fc253fd01699310535c3e442a03de060f1be2247bb2cbb33c7c3ee1daa22,12108699,inbound,2023-01-01 15:50:39
27,d6111b826e2fcebde14333370e1da3b3e8d44dca81ddd2d86d0136ecd223d328,52880577,inbound,2022-12-31 17:47:07
28,baad8bfb7356156fe529bc5a64f0fd6ea35091d8808a7a14963d7938ffe8f5e9,101942266995,inbound,2022-12-30 15:38:49
29,f3f783e66b62c9525fbcbc9ab3eceb0273e777fe4c23633485b14aadfdc151b8,29997832,inbound,2022-12-30 07:29:13
30,cee5383c2dd172b0b1500993598051cc24a1391866f952556eb2b38ab579c7da,80615427526,inbound,2022-12-30 07:22:16
31,a723fc0eb99d50bd4a4861d548a1dc6adfe9d52da6519ffe4ff29a6b3f1a48b8,499967627,inbound,2022-12-30 01:36:46
32,ef4bcd11f632d0393e6cef244c2db6512f0e55ce610cd66cff7795e167b60834,238578941,inbound,2022-12-29 23:00:35
33,6a2f9cee53b146b7aaf0f3437488f99a07d26ee4b59c32cc4c917c26721eb997,11647037,inbound,2022-12-29 04:52:49
34,ef0135b597d647703c2847d1f3a283caf89cd8fb39d0ad96528cb7cc84e03025,135897873,inbound,2022-12-28 23:30:54
35,445073af9be5f425321e7fa5d7472488810a1625e4c062e5b1997b2cf12bcfab,2080758904,inbound,2022-12-28 21:55:38
36,7e315e1e808af0f3b2efd11fb1e9619b379f184b569c8fce970bf9d4638b1128,26984905,inbound,2022-12-28 14:08:37
37,16d2b9cb53e3d9a9744a09b2a008f3ebe1cc17c8b8289e84a3536a7322d769eb,17272083,inbound,2022-12-27 12:29:25
38,b0904284a8b8800e12857f568784680ec1f0c86d928ecd0bad3ed675ddee6c19,434233553,inbound,2022-12-26 19:27:29
39,7b341dfa54077d5f833a90afe541fe013082cce54a96fc10c4086eec22745067,769051734,inbound,2022-12-26 08:22:01
