,hash,addr,value,time,direction
0,69710a087fa3dae2b4caceaeac73b186962530d48aded8f7c6f3dc41f6e21344,3M85gLA3s1JDnQCBPeTxSPcPAG16zdzY5S,30593746,2019-09-16 18:06:17,outbound
1,69710a087fa3dae2b4caceaeac73b186962530d48aded8f7c6f3dc41f6e21344,3M85gLA3s1JDnQCBPeTxSPcPAG16zdzY5S,30593746,2019-09-16 18:06:17,outbound
2,69710a087fa3dae2b4caceaeac73b186962530d48aded8f7c6f3dc41f6e21344,bc1qrd2ektkxnyher3407u74cqqadl8zghs8trfdxs,13353567,2019-09-16 18:06:17,outbound
3,69710a087fa3dae2b4caceaeac73b186962530d48aded8f7c6f3dc41f6e21344,bc1qrd2ektkxnyher3407u74cqqadl8zghs8trfdxs,13353567,2019-09-16 18:06:17,outbound
4,82bfe7cb266909b1a743f2ac67f0f391406ca0bc6ad208e450905e43a5083cfb,bc1qummlqtc2prm8e50vltyc2uxvfl9v0g242kje23,606900,2019-09-07 00:34:07,inbound
5,82bfe7cb266909b1a743f2ac67f0f391406ca0bc6ad208e450905e43a5083cfb,bc1qummlqtc2prm8e50vltyc2uxvfl9v0g242kje23,606900,2019-09-07 00:34:07,inbound
6,82bfe7cb266909b1a743f2ac67f0f391406ca0bc6ad208e450905e43a5083cfb,1L7WW9sR793TYKRLZGduw7geVcHoCoBrJe,2000000,2019-09-07 00:34:07,inbound
7,82bfe7cb266909b1a743f2ac67f0f391406ca0bc6ad208e450905e43a5083cfb,1L7WW9sR793TYKRLZGduw7geVcHoCoBrJe,2000000,2019-09-07 00:34:07,inbound
8,7b81c9bd01a1c0e1c0b2b4d8c86e005f41f9dc2469090b60a9c11d394f13dbf7,33U3aMxwgpZX37XEuq2NTHXHkVWGzSGKSi,30000000,2019-09-04 16:02:38,outbound
9,7b81c9bd01a1c0e1c0b2b4d8c86e005f41f9dc2469090b60a9c11d394f13dbf7,33U3aMxwgpZX37XEuq2NTHXHkVWGzSGKSi,30000000,2019-09-04 16:02:38,outbound
10,7b81c9bd01a1c0e1c0b2b4d8c86e005f41f9dc2469090b60a9c11d394f13dbf7,bc1q4ays9zfcuszn07cusdry4852v4954hmxr02zcz,929033,2019-09-04 16:02:38,outbound
11,7b81c9bd01a1c0e1c0b2b4d8c86e005f41f9dc2469090b60a9c11d394f13dbf7,bc1q4ays9zfcuszn07cusdry4852v4954hmxr02zcz,929033,2019-09-04 16:02:38,outbound
12,7778c63e78d0fa1fd2a04f81f8d59034d73ee83c1269d249305033359238ebc9,bc1qwpytpv7tvjgx5dacmpwgvke9kgkl24m85phmjw,1981300,2019-09-04 09:45:20,outbound
13,7778c63e78d0fa1fd2a04f81f8d59034d73ee83c1269d249305033359238ebc9,bc1qwpytpv7tvjgx5dacmpwgvke9kgkl24m85phmjw,1981300,2019-09-04 09:45:20,outbound
14,7778c63e78d0fa1fd2a04f81f8d59034d73ee83c1269d249305033359238ebc9,1M7E7VreSjNoArStqRDxomoev2guK6pNAz,2000000,2019-09-04 09:45:20,outbound
15,7778c63e78d0fa1fd2a04f81f8d59034d73ee83c1269d249305033359238ebc9,1M7E7VreSjNoArStqRDxomoev2guK6pNAz,2000000,2019-09-04 09:45:20,outbound
16,c252d2e57b2b790178081b2c50d4d8d4e002f753c4dfae0fbbf9e65ec839e7c2,bc1q9h479h8na0v76r6uz7qtheql5rpnjmy4qy9fl7,1981300,2019-09-04 07:09:41,outbound
17,c252d2e57b2b790178081b2c50d4d8d4e002f753c4dfae0fbbf9e65ec839e7c2,bc1q9h479h8na0v76r6uz7qtheql5rpnjmy4qy9fl7,1981300,2019-09-04 07:09:41,outbound
18,c252d2e57b2b790178081b2c50d4d8d4e002f753c4dfae0fbbf9e65ec839e7c2,169MPs3DnGjJCTb3iKY2DeyRsC2WhQr9Ju,2000000,2019-09-04 07:09:41,outbound
19,c252d2e57b2b790178081b2c50d4d8d4e002f753c4dfae0fbbf9e65ec839e7c2,169MPs3DnGjJCTb3iKY2DeyRsC2WhQr9Ju,2000000,2019-09-04 07:09:41,outbound
