,hash,addr,value,time,direction
0,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,bc1qqyvwywz06dhhafwn3kpxm7vjqwyws0024zzfgs,35000239,2023-04-05 13:14:34,outbound
1,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,bc1qqyvwywz06dhhafwn3kpxm7vjqwyws0024zzfgs,35000239,2023-04-05 13:14:34,outbound
2,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,bc1qqyvwywz06dhhafwn3kpxm7vjqwyws0024zzfgs,35000239,2023-04-05 13:14:34,outbound
3,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,bc1qqyvwywz06dhhafwn3kpxm7vjqwyws0024zzfgs,35000239,2023-04-05 13:14:34,outbound
4,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,2637880,2023-04-05 13:14:34,outbound
5,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,2637880,2023-04-05 13:14:34,outbound
6,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,2637880,2023-04-05 13:14:34,outbound
7,b49bf173ef46274d1e85c57b8bc2f4c3edb8dbc8890c891a94e025ee469c7b25,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,2637880,2023-04-05 13:14:34,outbound
8,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,16233230,2023-04-05 12:25:43,outbound
9,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,16233230,2023-04-05 12:25:43,outbound
10,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,16233230,2023-04-05 12:25:43,outbound
11,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,16233230,2023-04-05 12:25:43,outbound
12,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,bc1qqyvwywz06dhhafwn3kpxm7vjqwyws0024zzfgs,35027,2023-04-05 12:25:43,outbound
13,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,bc1qqyvwywz06dhhafwn3kpxm7vjqwyws0024zzfgs,35027,2023-04-05 12:25:43,outbound
14,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,bc1qqyvwywz06dhhafwn3kpxm7vjqwyws0024zzfgs,35027,2023-04-05 12:25:43,outbound
15,7245e6f62104bc1ef564479be3469ecc1870e9b21d25ada5f40140ee4fbdf5f4,bc1qqyvwywz06dhhafwn3kpxm7vjqwyws0024zzfgs,35027,2023-04-05 12:25:43,outbound
16,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,21412790,2023-04-05 11:32:54,inbound
17,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,21412790,2023-04-05 11:32:54,inbound
18,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,21412790,2023-04-05 11:32:54,inbound
19,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,bc1qz6lks9udfn78vx3cju9uyc6kqk6739hndak4ct,21412790,2023-04-05 11:32:54,inbound
20,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,bc1q0rmvvnux0czn4dfgxpez9qrh978ympud5j8lg9,60048689,2023-04-05 11:32:54,inbound
21,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,bc1q0rmvvnux0czn4dfgxpez9qrh978ympud5j8lg9,60048689,2023-04-05 11:32:54,inbound
22,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,bc1q0rmvvnux0czn4dfgxpez9qrh978ympud5j8lg9,60048689,2023-04-05 11:32:54,inbound
23,0f29ee96114823ff226a01da3c5fdb0bba83179bc275a7f92e1f05963c6d49ef,bc1q0rmvvnux0czn4dfgxpez9qrh978ympud5j8lg9,60048689,2023-04-05 11:32:54,inbound
24,311307dd00a85d0c2d6173d4a0d4dba77a760bd708a7446fb4699883860156d2,bc1q43p7mmcavc0mzqdxltkn5h9m5dg0w6mnh7698c,15935786,2023-04-05 11:38:08,inbound
25,311307dd00a85d0c2d6173d4a0d4dba77a760bd708a7446fb4699883860156d2,bc1q43p7mmcavc0mzqdxltkn5h9m5dg0w6mnh7698c,15935786,2023-04-05 11:38:08,inbound
26,311307dd00a85d0c2d6173d4a0d4dba77a760bd708a7446fb4699883860156d2,bc1q43p7mmcavc0mzqdxltkn5h9m5dg0w6mnh7698c,15935786,2023-04-05 11:38:08,inbound
27,311307dd00a85d0c2d6173d4a0d4dba77a760bd708a7446fb4699883860156d2,bc1q43p7mmcavc0mzqdxltkn5h9m5dg0w6mnh7698c,15935786,2023-04-05 11:38:08,inbound
28,311307dd00a85d0c2d6173d4a0d4dba77a760bd708a7446fb4699883860156d2,bc1q0sx7q9rkqc3qdv4pha4u0fgtqmx385vzltt4gn,454033,2023-04-05 11:38:08,inbound
